size_label,documents,before_elapsed_sec_mean,before_elapsed_sec_std,after_elapsed_sec_mean,after_elapsed_sec_std,speedup_x,before_docs_per_sec,after_docs_per_sec,before_tokens_per_sec,after_tokens_per_sec,before_peak_rss_mb_mean,after_peak_rss_mb_mean,after_cache_hits,after_cache_misses,after_cache_size
1k,1000,242.5389027000405,41.64451760552838,6.5207656000275165,0.4827609678303757,37.19485066278368,4.123049906087635,153.35622553213386,905.718618970083,33688.06877509491,403.5890625,432.1625,8013,6295,6295
2k,2000,477.34464226001876,77.82668230228708,12.788423060020431,0.8910577979644023,37.32630989917033,4.1898448687532595,156.39144800053282,901.6252868416202,33654.34486957866,405.83125,465.58359375,16623,11542,11542
5k,5000,1612.2651321000885,0.0,36.87080550007522,0.0,43.72741821701724,3.101226901488063,135.60864570723305,688.6590659898195,30113.28298747731,413.9375,591.1015625,44771,28238,28238
10k,10000,3299.4394487000536,0.0,75.7128904000856,0.0,43.57830524320233,3.030817857239326,132.07790571932378,686.7269532382867,29926.396786952388,421.8046875,812.05859375,93789,55711,55711
